要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jpdei_cor:NumberOfSubmissionDEI,提出回数、DEI,FilingDateInstant,提出日時点,その他,時点,pure,,1
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,285465000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,42908000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,29550000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,29662000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,CurrentYearInstant,当期末,その他,時点,JPY,円,325624000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,CurrentYearInstant,当期末,その他,時点,JPY,円,3856288000000
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,CurrentYearInstant,当期末,その他,時点,JPYPerShares,,1693031.09
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,CurrentYearDuration,当期,その他,期間,JPYPerShares,,157603.66
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,CurrentYearDuration,当期,その他,期間,JPYPerShares,,－
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,CurrentYearInstant,当期末,その他,時点,pure,,0.0823
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,CurrentYearDuration,当期,その他,期間,pure,,0.0961
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,CurrentYearDuration,当期,その他,期間,pure,,－
jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,営業活動によるキャッシュ・フロー、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,-821520000000
jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,投資活動によるキャッシュ・フロー、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,-11432000000
jpcrp_cor:NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,財務活動によるキャッシュ・フロー、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,886607000000
jpcrp_cor:CashAndCashEquivalentsSummaryOfBusinessResults,現金及び現金同等物の残高、経営指標等,CurrentYearInstant,当期末,その他,時点,JPY,円,422468000000
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant,当期末,その他,時点,pure,,2204
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant,当期末,その他,時点,pure,,334
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPY,円,186630000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPY,円,38407000000
jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPY,円,27044000000
jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,16500000000
jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,shares,,187500
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,305468000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,3750186000000
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPYPerShares,,1629164.79
jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,－
jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,－
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,144237.37
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,－
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,0.0815
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,pure,,0.0911
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,pure,,－
jpcrp_cor:PayoutRatioSummaryOfBusinessResults,配当性向、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,pure,,－
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,1910
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,306
jpcrp_cor:TotalShareholderReturn,株主総利回り,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,－
jpcrp_cor:TotalReturnOnSharePriceIndex,株価指数における総利回り,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,－
jpcrp_cor:NumberOfSharesHeld,所有株式数,CurrentYearInstant_No1MajorShareholdersMember,当期末,その他,時点,shares,,187500
jpcrp_cor:ShareholdingRatio,発行済株式（自己株式を除く。）の総数に対する所有株式数の割合,CurrentYearInstant_No1MajorShareholdersMember,当期末,その他,時点,pure,,1.0000
jpcrp_cor:NumberOfSharesHeld,所有株式数,CurrentYearInstant,当期末,その他,時点,shares,,187500
jpcrp_cor:ShareholdingRatio,発行済株式（自己株式を除く。）の総数に対する所有株式数の割合,CurrentYearInstant,当期末,その他,時点,pure,,1.0000
jppfs_cor:CashAndDeposits,現金及び預金,CurrentYearInstant,当期末,連結,時点,JPY,円,423627000000
jppfs_cor:AccountsReceivableOperatingLoansCASPF,営業貸付金、流動資産、特定金融業,CurrentYearInstant,当期末,連結,時点,JPY,円,540127000000
jppfs_cor:AccountsReceivableInstallment,割賦売掛金,CurrentYearInstant,当期末,連結,時点,JPY,円,2433554000000
jppfs_cor:LeaseReceivablesAndInvestmentAssetsCA,リース債権及びリース投資資産、流動資産,CurrentYearInstant,当期末,連結,時点,JPY,円,229861000000
jppfs_cor:Supplies,貯蔵品,CurrentYearInstant,当期末,連結,時点,JPY,円,538000000
jppfs_cor:OtherCA,その他、流動資産,CurrentYearInstant,当期末,連結,時点,JPY,円,148370000000
jppfs_cor:AllowanceForDoubtfulAccountsCA,貸倒引当金、流動資産、一括控除,CurrentYearInstant,当期末,連結,時点,JPY,円,-17583000000
jppfs_cor:CurrentAssets,流動資産,CurrentYearInstant,当期末,連結,時点,JPY,円,3758495000000
jpcrp030000-asr_E05031-000:PropertyForLeaseNetPPELEA,,CurrentYearInstant,当期末,その他,時点,JPY,円,21700000000
jppfs_cor:OtherNetPPE,その他（純額）、有形固定資産,CurrentYearInstant,当期末,連結,時点,JPY,円,1494000000
jppfs_cor:PropertyPlantAndEquipment,有形固定資産,CurrentYearInstant,当期末,連結,時点,JPY,円,23195000000
jppfs_cor:Software,ソフトウエア,CurrentYearInstant,当期末,連結,時点,JPY,円,23522000000
jppfs_cor:IntangibleAssets,無形固定資産,CurrentYearInstant,当期末,連結,時点,JPY,円,23522000000
jppfs_cor:InvestmentSecurities,投資有価証券,CurrentYearInstant,当期末,連結,時点,JPY,円,520000000
jppfs_cor:InvestmentsInCapital,出資金,CurrentYearInstant,当期末,連結,時点,JPY,円,912000000
jppfs_cor:InvestmentsInCapitalOfSubsidiariesAndAffiliates,関係会社出資金,CurrentYearInstant,当期末,連結,時点,JPY,円,2881000000
jppfs_cor:DeferredTaxAssets,繰延税金資産,CurrentYearInstant,当期末,連結,時点,JPY,円,32952000000
jppfs_cor:OtherIOA,その他、投資その他の資産,CurrentYearInstant,当期末,連結,時点,JPY,円,13176000000
jppfs_cor:InvestmentsAndOtherAssets,投資その他の資産,CurrentYearInstant,当期末,連結,時点,JPY,円,50442000000
jppfs_cor:NoncurrentAssets,固定資産,CurrentYearInstant,当期末,連結,時点,JPY,円,97160000000
jppfs_cor:BondIssuanceCostDA,社債発行費、繰延資産,CurrentYearInstant,当期末,連結,時点,JPY,円,632000000
jppfs_cor:DeferredAssets,繰延資産,CurrentYearInstant,当期末,連結,時点,JPY,円,632000000
jppfs_cor:Assets,資産,CurrentYearInstant,当期末,連結,時点,JPY,円,3856288000000
jppfs_cor:NotesAndAccountsPayableTrade,支払手形及び買掛金,CurrentYearInstant,当期末,連結,時点,JPY,円,289128000000
jppfs_cor:ShortTermLoansPayable,短期借入金,CurrentYearInstant,当期末,連結,時点,JPY,円,420887000000
jppfs_cor:CurrentPortionOfLongTermLoansPayable,１年内返済予定の長期借入金,CurrentYearInstant,当期末,連結,時点,JPY,円,127500000000
jpcrp030000-asr_E05031-000:CurrentPortionOfLongTermLoansPayableUnderCreditFluidityCL,,CurrentYearInstant,当期末,その他,時点,JPY,円,75359000000
jppfs_cor:CurrentPortionOfBonds,１年内償還予定の社債,CurrentYearInstant,当期末,連結,時点,JPY,円,121000000000
jppfs_cor:ProvisionForBonuses,賞与引当金,CurrentYearInstant,当期末,連結,時点,JPY,円,2784000000
