要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,238840000000
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,239138000000
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,257443000000
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,271217000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,22394000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,41579000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,48965000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,47074000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,15923000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,28844000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,33883000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,33105000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,14463000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,29400000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,34146000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,35215000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPY,円,226895000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPY,円,250449000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPY,円,276290000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior1YearInstant,前期末,その他,時点,JPY,円,304774000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPY,円,2028687000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPY,円,2063386000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPY,円,2283512000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior1YearInstant,前期末,その他,時点,JPY,円,2906458000000
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPYPerShares,,1180518.64
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPYPerShares,,1305040.22
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPYPerShares,,1440537.49
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior1YearInstant,前期末,その他,時点,JPYPerShares,,1586481.08
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPYPerShares,,84922.83
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPYPerShares,,153837.19
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPYPerShares,,180714.08
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior1YearDuration,前期,その他,期間,JPYPerShares,,176561.87
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior4YearDuration,四期前,その他,期間,JPYPerShares,,－
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior3YearDuration,三期前,その他,期間,JPYPerShares,,－
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior2YearDuration,前々期,その他,期間,JPYPerShares,,－
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior1YearDuration,前期,その他,期間,JPYPerShares,,－
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,Prior4YearInstant,四期前時点,その他,時点,pure,,0.1091
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,Prior3YearInstant,三期前時点,その他,時点,pure,,0.1186
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,Prior2YearInstant,前々期末,その他,時点,pure,,0.1183
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,Prior1YearInstant,前期末,その他,時点,pure,,0.1023
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,Prior4YearDuration,四期前,その他,期間,pure,,0.0736
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,Prior3YearDuration,三期前,その他,期間,pure,,0.1238
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,Prior2YearDuration,前々期,その他,期間,pure,,0.1316
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,Prior1YearDuration,前期,その他,期間,pure,,0.1167
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,Prior4YearDuration,四期前,その他,期間,pure,,－
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,Prior3YearDuration,三期前,その他,期間,pure,,－
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,Prior2YearDuration,前々期,その他,期間,pure,,－
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,Prior1YearDuration,前期,その他,期間,pure,,－
jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,営業活動によるキャッシュ・フロー、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,-7114000000
jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,営業活動によるキャッシュ・フロー、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,49901000000
jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,営業活動によるキャッシュ・フロー、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,51872000000
jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,営業活動によるキャッシュ・フロー、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,-425648000000
jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,投資活動によるキャッシュ・フロー、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,-6006000000
jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,投資活動によるキャッシュ・フロー、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,-5828000000
jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,投資活動によるキャッシュ・フロー、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,-5425000000
jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,投資活動によるキャッシュ・フロー、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,-9360000000
jpcrp_cor:NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,財務活動によるキャッシュ・フロー、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,-77765000000
jpcrp_cor:NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,財務活動によるキャッシュ・フロー、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,2059000000
jpcrp_cor:NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,財務活動によるキャッシュ・フロー、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,155106000000
jpcrp_cor:NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,財務活動によるキャッシュ・フロー、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,546690000000
