要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jpdei_cor:NumberOfSubmissionDEI,提出回数、DEI,FilingDateInstant,提出日時点,その他,時点,pure,,2
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,449753000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,42595000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,14260000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,46445000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,CurrentYearInstant,当期末,その他,時点,JPY,円,511094000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,CurrentYearInstant,当期末,その他,時点,JPY,円,1663276000000
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,CurrentYearInstant,当期末,その他,時点,JPYPerShares,,2192.52
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,CurrentYearDuration,当期,その他,期間,JPYPerShares,,62.66
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,CurrentYearDuration,当期,その他,期間,JPYPerShares,,62.66
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,CurrentYearInstant,当期末,その他,時点,pure,,0.300
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,CurrentYearDuration,当期,その他,期間,pure,,0.030
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,CurrentYearDuration,当期,その他,期間,pure,,32.4
jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,営業活動によるキャッシュ・フロー、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,102282000000
jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,投資活動によるキャッシュ・フロー、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,-96580000000
jpcrp_cor:NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,財務活動によるキャッシュ・フロー、経営指標等,CurrentYearDuration,当期,その他,期間,JPY,円,-64788000000
jpcrp_cor:CashAndCashEquivalentsSummaryOfBusinessResults,現金及び現金同等物の残高、経営指標等,CurrentYearInstant,当期末,その他,時点,JPY,円,64687000000
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant,当期末,その他,時点,pure,,3900
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant,当期末,その他,時点,pure,,1711
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPY,円,330298000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPY,円,38284000000
jpcrp_cor:NetIncomeLossSummaryOfBusinessResults,当期純利益又は当期純損失（△）、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPY,円,22923000000
jpcrp_cor:CapitalStockSummaryOfBusinessResults,資本金、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,42389000000
jpcrp_cor:TotalNumberOfIssuedSharesSummaryOfBusinessResults,発行済株式総数（普通株式）、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,shares,,227571000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,477241000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPY,円,1429540000000
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,JPYPerShares,,2096.98
jpcrp_cor:DividendPaidPerShareSummaryOfBusinessResults,１株当たり配当額、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,50.00
jpcrp_cor:InterimDividendPaidPerShareSummaryOfBusinessResults,１株当たり中間配当額、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,25.00
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,100.73
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,JPYPerShares,,100.72
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,自己資本比率、経営指標等,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,0.334
jpcrp_cor:RateOfReturnOnEquitySummaryOfBusinessResults,自己資本利益率、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,pure,,0.049
jpcrp_cor:PriceEarningsRatioSummaryOfBusinessResults,株価収益率、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,pure,,20.2
jpcrp_cor:PayoutRatioSummaryOfBusinessResults,配当性向、経営指標等,CurrentYearDuration_NonConsolidatedMember,当期,その他,期間,pure,,0.496
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,1923
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,1589
jpcrp_cor:TotalShareholderReturn,株主総利回り,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,1.485
jpcrp_cor:TotalReturnOnSharePriceIndex,株価指数における総利回り,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,2.002
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant_jpcrp030000-asr_E04002-000JapanReportableSegmentsMember,当期末,その他,時点,pure,,2150
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant_jpcrp030000-asr_E04002-000JapanReportableSegmentsMember,当期末,その他,時点,pure,,1711
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant_jpcrp030000-asr_E04002-000ChinaReportableSegmentsMember,当期末,その他,時点,pure,,888
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant_jpcrp030000-asr_E04002-000ChinaReportableSegmentsMember,当期末,その他,時点,pure,,－
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant_jpcrp030000-asr_E04002-000VietnamReportableSegmentsMember,当期末,その他,時点,pure,,461
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant_jpcrp030000-asr_E04002-000VietnamReportableSegmentsMember,当期末,その他,時点,pure,,－
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant_jpcrp030000-asr_E04002-000CambodiaReportableSegmentsMember,当期末,その他,時点,pure,,180
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant_jpcrp030000-asr_E04002-000CambodiaReportableSegmentsMember,当期末,その他,時点,pure,,－
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant_jpcrp030000-asr_E04002-000IndonesiaReportableSegmentsMember,当期末,その他,時点,pure,,218
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant_jpcrp030000-asr_E04002-000IndonesiaReportableSegmentsMember,当期末,その他,時点,pure,,－
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant_jpcrp030000-asr_E04002-000OtherOverseasReportableSegmentsMember,当期末,その他,時点,pure,,3
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant_jpcrp030000-asr_E04002-000OtherOverseasReportableSegmentsMember,当期末,その他,時点,pure,,－
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant,当期末,その他,時点,pure,,3900
jpcrp_cor:AverageNumberOfTemporaryWorkers,平均臨時雇用人員,CurrentYearInstant,当期末,その他,時点,pure,,1711
jpcrp_cor:NumberOfEmployees,従業員数,CurrentYearInstant_NonConsolidatedMember,当期末,その他,時点,pure,,1923
