要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,280688000000
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,316813000000
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,398244000000
jpcrp_cor:OperatingRevenue1SummaryOfBusinessResults,営業収益、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,423168000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,28437000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,32540000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,36409000000
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,経常利益又は経常損失（△）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,37086000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,-1864000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,19278000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,12994000000
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,20399000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,Prior4YearDuration,四期前,その他,期間,JPY,円,-8611000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,Prior3YearDuration,三期前,その他,期間,JPY,円,49755000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,Prior2YearDuration,前々期,その他,期間,JPY,円,37361000000
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,包括利益、経営指標等,Prior1YearDuration,前期,その他,期間,JPY,円,36026000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPY,円,387486000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPY,円,426931000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPY,円,451711000000
jpcrp_cor:NetAssetsSummaryOfBusinessResults,純資産額、経営指標等,Prior1YearInstant,前期末,その他,時点,JPY,円,476226000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPY,円,1394199000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPY,円,1463256000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPY,円,1559592000000
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,総資産額、経営指標等,Prior1YearInstant,前期末,その他,時点,JPY,円,1655253000000
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior4YearInstant,四期前時点,その他,時点,JPYPerShares,,1658.23
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior3YearInstant,三期前時点,その他,時点,JPYPerShares,,1830.21
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior2YearInstant,前々期末,その他,時点,JPYPerShares,,1935.77
jpcrp_cor:NetAssetsPerShareSummaryOfBusinessResults,１株当たり純資産額、経営指標等,Prior1YearInstant,前期末,その他,時点,JPYPerShares,,2040.33
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior4YearDuration,四期前,その他,期間,JPYPerShares,,-8.19
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior3YearDuration,三期前,その他,期間,JPYPerShares,,84.72
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior2YearDuration,前々期,その他,期間,JPYPerShares,,57.10
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,１株当たり当期純利益又は当期純損失（△）、経営指標等,Prior1YearDuration,前期,その他,期間,JPYPerShares,,89.64
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,潜在株式調整後１株当たり当期純利益、経営指標等,Prior4YearDuration,四期前,その他,期間,JPYPerShares,,－
